AEROENG2001,,,,,,,,,,,,,,
ARCHENG3210/CIVENG3210,ARCHENG3201/CIVENG3201,,,,,,,,,,,,,
ARCHENG3220/CIVENG3220,ARCHENG3201/CIVENG3201,,,,,,,,,,,,,
ARCHENG3804,ART3203,,,,,,,,,,,,,
ART3203,,,,,,,,,,,,,,
ENVENG4010/CIVENG4010/ARCHENG4010,,,,,,,,,,,,,,
ARCHENG4097,CIVENG4448/ARCHENG4448,,,,,,,,,,,,,
CIVENG4448/ARCHENG4448,PHYSICS1135,MATH1215,,,,,,,,,,,,
ARCHENG4099,,,,,,,,,,,,,,
CIVENG4447/ARCHENG4447,,,,,,,,,,,,,,
ARCHENG4800,CIVENG3330,MECHENG2527,,,,,,,,,,,,
CIVENG3330,MECHENG2360/AEROENG2360,MATH3304,MECHENG2350,MECHENG2340,,,,,,,,,,
MECHENG2527,PHYSICS1111,PHYSICS1135,MATH1215,,,,,,,,,,,
ARCHENG4850,MATH3304,PHYSICS2135,,,,,,,,,,,,
PHYSICS2135,PHYSICS1111,PHYSICS1135,MATH1215,MATH1221,,,,,,,,,,
ARCHENG5000,,,,,,,,,,,,,,
ARCHENG5001/CIVENG5209,ARCHENG3201/CIVENG3201,,,,,,,,,,,,,
ARCHENG5203/CIVENG5203,ARCHENG3201/CIVENG3201,,,,,,,,,,,,,
CIVENG5205/ARCHENG5205,ARCHENG3201/CIVENG3201,,,,,,,,,,,,,
CIVENG5206/ARCHENG5206,ARCHENG3210/CIVENG3210,ARCHENG3220/CIVENG3220,,,,,,,,,,,,
CIVENG5207/ARCHENG5207,ARCHENG3201/CIVENG3201,,,,,,,,,,,,,
ARCHENG5208/CIVENG5208,MECHENG2350,ARCHENG3201/CIVENG3201,,,,,,,,,,,,
CIVENG5210/ARCHENG5210,ARCHENG3210/CIVENG3210,,,,,,,,,,,,,
ARCHENG5220/CIVENG5220,ARCHENG3220/CIVENG3220,,,,,,,,,,,,,
CIVENG5222/ARCHENG5222,ARCHENG3220/CIVENG3220,,,,,,,,,,,,,
ARCHENG5231/CIVENG5231,ARCHENG3201/CIVENG3201,ARCHENG3220/CIVENG3220,,,,,,,,,,,,
CIVENG5260/ARCHENG5260,ARCHENG3201/CIVENG3201,,,,,,,,,,,,,
ARCHENG5270/CIVENG5270,ARCHENG3201/CIVENG3201,,,,,,,,,,,,,
CIVENG5442/ARCHENG5442,CIVENG4448/ARCHENG4448,,,,,,,,,,,,,
ARCHENG5445/CIVENG5445,CIVENG4448/ARCHENG4448,,,,,,,,,,,,,
CIVENG5446/ARCHENG5446,CIVENG4448/ARCHENG4448,,,,,,,,,,,,,
CIVENG5448/ARCHENG5448,CIVENG4448/ARCHENG4448,,,,,,,,,,,,,
CIVENG5449/ARCHENG5449,CIVENG4448/ARCHENG4448,,,,,,,,,,,,,
CIVENG5642/ARCHENG5642/ENVENG5642,,,,,,,,,,,,,,
ARCHENG5665/CIVENG5665/ENVENG5665,ENVENG2601/CIVENG2601,MECHENG5571,,,,,,,,,,,,
ENVENG2601/CIVENG2601,MATH1214,CHEM1310,CHEM1301,MATH1208,MATH1212,,,,,,,,,
MECHENG5571,MECHENG3525,MECHENG3521,CIVENG3330,MECHENG2527,,,,,,,,,,
CIVENG5729/ARCHENG5729,CIVENG4729,,,,,,,,,,,,,
CIVENG4729,CIVENG3715,,,,,,,,,,,,,
ARCHENG5820,PHYSICS2135,,,,,,,,,,,,,
ARCHENG5850,MECHENG2527,,,,,,,,,,,,,
ART1120,,,,,,,,,,,,,,
ART1140,,,,,,,,,,,,,,
ART1164,,,,,,,,,,,,,,
ART1180,,,,,,,,,,,,,,
ART1185,,,,,,,,,,,,,,
ART2000,,,,,,,,,,,,,,
ART2001,,,,,,,,,,,,,,
ART2130,ART1120,,,,,,,,,,,,,
ART2150,ART1140,,,,,,,,,,,,,
ART3000,,,,,,,,,,,,,,
ART3001,,,,,,,,,,,,,,
ART3100,ART1120,ART1140,ART1164,,,,,,,,,,,
ART3221/SPMS3221,ART1180,ART1185,SPMS2181,SPMS1185,,,,,,,,,,
SPMS2181,,,,,,,,,,,,,,
SPMS1185,,,,,,,,,,,,,,
ART3222,,,,,,,,,,,,,,
ART3245,ART1180,ART1185,,,,,,,,,,,,
ART3250,ART1185,,,,,,,,,,,,,
ART3260,,,,,,,,,,,,,,
ART3275/SPMS3275,SPMS1185,,,,,,,,,,,,,
ART3276/PHILOS3276,ART1185,,,,,,,,,,,,,
ART3500,,,,,,,,,,,,,,
ART4000,,,,,,,,,,,,,,
ART4001,,,,,,,,,,,,,,
FRENCH2170/FRENCH4320/ART4320,,,,,,,,,,,,,,
BIOSCI1001,,,,,,,,,,,,,,
BIOSCI1103,,,,,,,,,,,,,,
BIOSCI1113,,,,,,,,,,,,,,
BIOSCI1163,,,,,,,,,,,,,,
BIOSCI1173,,,,,,,,,,,,,,
BIOSCI1201,,,,,,,,,,,,,,
BIOSCI1213,,,,,,,,,,,,,,
BIOSCI1219,BIOSCI1113,BIOSCI1213,,,,,,,,,,,,
BIOSCI1223,,,,,,,,,,,,,,
BIOSCI1229,BIOSCI1223,,,,,,,,,,,,,
BIOSCI1943,,,,,,,,,,,,,,
BIOSCI1953,,,,,,,,,,,,,,
BIOSCI1982,,,,,,,,,,,,,,
BIOSCI1983,,,,,,,,,,,,,,
BIOSCI2001,,,,,,,,,,,,,,
BIOSCI2213,CHEM1320,,,,,,,,,,,,,
CHEM1320,CHEM1319,CHEM1310,,,,,,,,,,,,
BIOSCI2219,BIOSCI2213,,,,,,,,,,,,,
BIOSCI2223,BIOSCI1113,BIOSCI1173,BIOSCI1213,,,,,,,,,,,
BIOSCI2242,BIOSCI1201,,,,,,,,,,,,,
BIOSCI2243,BIOSCI1113,BIOSCI1213,,,,,,,,,,,,
BIOSCI2252,BIOSCI1113,BIOSCI1213,,,,,,,,,,,,
BIOSCI2263,BIOSCI1113,BIOSCI1213,BIOSCI1223,,,,,,,,,,,
BIOSCI2264,,,,,,,,,,,,,,
BIOSCI2333,BIOSCI1113,BIOSCI1213,,,,,,,,,,,,
BIOSCI2353,,,,,,,,,,,,,,
BIOSCI2359,BIOSCI2353,,,,,,,,,,,,,
BIOSCI2372,BIOSCI1113,BIOSCI1213,,,,,,,,,,,,
BIOSCI2383,BIOSCI1113,BIOSCI1213,BIOSCI1223,,,,,,,,,,,
BIOSCI2389,BIOSCI1219,BIOSCI2383,,,,,,,,,,,,
BIOSCI3000,,,,,,,,,,,,,,
