ACS312,ACS213,,,,,,,,,,,,,,,AND,ACS,1
ACS313,ACS213,,,,,,,,,,,,,,,OR,ACS,1
ACS315,ACS213,,,,,,,,,,,,,,,OR,ACS,1
ACS323,ACS103,,,,,,,,,,,,,,,OR,ACS,1
ACS329,,,,,,,,,,,,,,,,AND,ACS,1
ACS330,,,,,,,,,,,,,,,,AND,ACS,1
ACS331,,,,,,,,,,,,,,,,AND,ACS,1
ACS370,,,,,,,,,,,,,,,,AND,ACS,1
ACS403,ACS203,,,,,,,,,,,,,,,OR,ACS,1
ACS409,ACS329,,,,,,,,,,,,,,,AND,ACS,1
ACS410,,,,,,,,,,,,,,,,AND,ACS,1
ACS411,,,,,,,,,,,,,,,,AND,ACS,1
ACS413,ACS213,ACS203,,,,,,,,,,,,,,AND,ACS,1
ACS414,,,,,,,,,,,,,,,,OR,ACS,1
ACS415,ACS414,,,,,,,,,,,,,,,OR,ACS,1
ACS416,,,,,,,,,,,,,,,,AND,ACS,1
ACS419,,,,,,,,,,,,,,,,AND,ACS,1
ACS421,ACS103,,,,,,,,,,,,,,,AND,ACS,1
ACS422,ACS103,,,,,,,,,,,,,,,AND,ACS,1
ACS423,,,,,,,,,,,,,,,,AND,ACS,1
ACS424,,,,,,,,,,,,,,,,AND,ACS,1
ACS425,,,,,,,,,,,,,,,,AND,ACS,1
ACS426,,,,,,,,,,,,,,,,AND,ACS,1
ACS430,,,,,,,,,,,,,,,,AND,ACS,1
ACS431,,,,,,,,,,,,,,,,AND,ACS,1
ACS432,,,,,,,,,,,,,,,,AND,ACS,1
ACS433,,,,,,,,,,,,,,,,AND,ACS,1
ACS434,,,,,,,,,,,,,,,,AND,ACS,1
ACS461,,,,,,,,,,,,,,,,AND,ACS,1
ACS491,,,,,,,,,,,,,,,,AND,ACS,1
AD070,,,,,,,,,,,,,,,,AND,AD,0
AD080,,,,,,,,,,,,,,,,AND,AD,0
AD082,AD080,,,,,,,,,,,,,,,AND,AD,0
AD085,,,,,,,,,,,,,,,,AND,AD,0
AD090,,,,,,,,,,,,,,,,AND,AD,0
AD092,AD090,,,,,,,,,,,,,,,AND,AD,0
AD095,AD065,AD070,,,,,,,,,,,,,,AND,AD,0
AD115,,,,,,,,,,,,,,,,AND,AD,0
AD116,AD082,,,,,,,,,,,,,,,AND,AD,0
AD117,,,,,,,,,,,,,,,,AND,AD,0
AD120,,,,,,,,,,,,,,,,AND,AD,0
ANTH111A,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH111B,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH170A,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH170B,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH202,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH204,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH205,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH206,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH270A,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH207B,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH300,ANTH111B,,,,,,,,,,,,,,,AND,ANTH,6
ANTH301,ANTH111B,,,,,,,,,,,,,,,AND,ANTH,6
ANTH303,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH305,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH308,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH312,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH314,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH316,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH325,ANTH111A,,,,,,,,,,,,,,,AND,ANTH,6
ANTH332,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH333,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH334,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH335,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH336,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH340,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH350,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH352,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH359,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH360A,ANTH111A,,,,,,,,,,,,,,,AND,ANTH,6
ANTH360B,ANTH111A,ANTH360A,,,,,,,,,,,,,,AND,ANTH,6
ANTH365,ANTH111A,,,,,,,,,,,,,,,AND,ANTH,6
ANTH366,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH367,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH368,ANTH111A,,,,,,,,,,,,,,,AND,ANTH,6
ANTH369,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH370A,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH370B,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH404,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH405,,,,,,,,,,,,,,,,AND,ANTH,6
ANTH408,ANTH111B,,,,,,,,,,,,,,,AND,ANTH,6
