BIO SCI 3319  Microbiology Lab (LAB 2.0)
BIO SCI 3333  Human Anatomy and Physiology I (LEC 3.0)
BIO SCI 3339  Human Anatomy Physiology I Lab (LAB 1.0)
BIO SCI 3343  Human Anatomy and Physiology II (LEC 3.0)
BIO SCI 3349  Human Anatomy and Physiology II Laboratory (LAB 1.0)
BIO SCI 3353  Comparative Vertebrate Anatomy (LAB 2.0 and LEC 2.0)
BIO SCI 3359  Physiology Lab (LAB 1.0)
BIO SCI 3363  Ecophysiology (LEC 3.0)
BIO SCI 3383  Plant Physiology (LEC 3.0)
BIO SCI 3483  Biomedical Problems (LEC 3.0)
BIO SCI 3783  Biological Design and Innovation I (LAB 3.0)
BIO SCI 4001  Special Topics (LAB 0.0 and LEC 0.0)
BIO SCI 4010  Seminar (RSD 1.0)
BIO SCI 4099  Undergraduate Research (IND 1.0-3.0)
BIO SCI 4313  Introduction to Environmental Microbiology (LEC 3.0)
BIO SCI 4316  Introduction to Geomicrobiology (LEC 3.0)
BIO SCI 4323  Molecular Genetics (LEC 3.0)
BIO SCI 4329  Molecular Genetics Laboratory (LAB 2.0)
BIO SCI 4353  Cancer Cell Biology (LEC 3.0)
BIO SCI 4363  Freshwater Ecology (LEC 3.0)
BIO SCI 4369  Freshwater Ecology Laboratory (LAB 1.0)
BIO SCI 4373  Stem Cell Biology (LEC 3.0)
BIO SCI 4383  Toxicology (LEC 3.0)
BIO SCI 4423  Introduction to Astrobiology (LEC 3.0)
BIO SCI 4433  Genomics (LEC 3.0)
BIO SCI 4533  Neurobiology (LEC 3.0)
BIO SCI 4563  Global Ecology (LEC 3.0)
BIO SCI 4663  Animal Behavior (LAB 1.0 and LEC 2.0)
BIO SCI 4666  Nanobiotechnology (LEC 3.0)
BIO SCI 4900  Clinical Chemistry (LAB 5.0-10)
BIO SCI 4901  Clinical Microscopy (LAB 1.0-3.0)
BIO SCI 4902  Hematology and Coagulation (LAB 5.0-8.0)
BIO SCI 4903  Serology Immunology (LAB 2.0-4.0)
BIO SCI 4904  Clinical Microbiology (LAB 5.0-9.0)
BIO SCI 4905  Blood Bank Immunohematology (LAB 2.0-4.0)
